"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7625","Add checkbox label","chromium","2026-02-15","failed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","4063","Check ckeckbox","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","7420","Open dynamic cintrols page","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","1902","@verify dynamic controls","chromium","2026-02-09","passed","2026-02-09","","ui/specs/dynamicControls.spec.ts","",""
"","714","create → get booking","chromium","2026-02-15","passed","2026-02-15","Booking API","api/specs/bookingApi.spec.ts","",""
"","4300","check checkbox","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","780","delete booking","chromium","2026-02-15","passed","2026-02-15","@api Booking API","api/specs/bookingApi.spec.ts","",""
"","787","update booking","chromium","2026-02-15","passed","2026-02-15","@api Booking API","api/specs/bookingApi.spec.ts","",""
"","665","create → get booking","chromium","2026-02-15","passed","2026-02-15","@api Booking API","api/specs/bookingApi.spec.ts","",""
"","824","delete booking","chromium","2026-02-15","passed","2026-02-15","Booking API","api/specs/bookingApi.spec.ts","",""
"","7092","Check/uncheck ckeckbox","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","14116","Add checkbox","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","6377","Remove checkbox","chromium","2026-02-15","passed","2026-02-15","Verify dynamic controls","ui/specs/dynamicControls.spec.ts","",""
"","763","update booking","chromium","2026-02-15","passed","2026-02-15","Booking API","api/specs/bookingApi.spec.ts","",""
